,index,title,price,retail_price,currency_buyer,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,tags,product_color,countries_shipped_to,inventory_total,origin_country,merchant_name,merchant_rating_count,merchant_rating,merchant_id,product_id
0,0,2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,16.0,14,EUR,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset",white,34,50,CN,zgrdejia,568,4.128521126760563,595097d6a26f6e070cb878d1,5e9ae51d43d6a96e303acdb0
1,1,SSHOUSE Summer Casual Sleeveless Soirée Party Soirée sans manches Vêtements de plage sexy Mini robe femme wshC1612242400387A21,8.0,22,EUR,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual",green,41,50,CN,sarahouse,17752,3.8996732762505633,56458aa03a698c35c9050988,58940d436a0d3d5da4e95a38
2,2,2020 Nouvelle Arrivée Femmes Printemps et Été Plage Porter Longue Mince Cardigan Ouvert Avant Kimono Vert Feuille Imprimé En Mousseline de Soie Cardigan S-5XL,8.0,43,EUR,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono",leopardprint,36,50,CN,hxt520,295,3.989830508474576,5d464a1ffdf7bc44ee933c65,5ea10e2c617580260d55310a
3,3,Hot Summer Cool T-shirt pour les femmes Mode Tops Abeille Lettres imprimées Manches courtes O Neck Coton T-shirts Tops Tee Vêtements,8.0,8,EUR,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,41,50,CN,allenfan,23832,4.020434709634105,58cfdefdacb37b556efdff7c,5cedf17ad1d44c52c59e4aca
4,4,"Femmes Shorts d'été à lacets taille élastique lâche mince pantalon décontracté, plus la taille S-8XL",2.72,3,EUR,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,35,50,CN,happyhorses,14482,4.001588178428394,5ab3b592c3911a095ad5dadb,5ebf5819ebac372b070b0e70
5,5,Plus la taille d'été femmes décontracté sans manches barboteuses combinaisons combinaison de couleur unie jarretelles pantalons lâche salopette,3.92,9,EUR,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit",navyblue,40,50,CN,zhoulinglinga,65,3.507692307692308,5e4b9c3801ba9d210036fc5a,5ec645bafd107a02279c8c54
6,6,Women Fashion Loose Lace Blouse Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Grande Taille XS-8XL,7.0,6,EUR,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt",white,31,50,CN,uniquelifashionshopbb657bfe91d211e598c7063a14dc88b5,10194,4.076515597410241,5652f4053a698c76dc9a3f37,5c63a337d5e2ce4bbb3152cf
7,7,Robe tunique ample femme Robe d'été Robe en jean Robe chemise en jean Robe droite,12.0,11,EUR,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre",blue,139,50,CN,soband,342,3.681286549707602,5d45349676befe65691dcfbb,5e0ae5ebc2efb76ccf0a3391
8,8,Robe d'été décontractée à manches courtes pour femmes,11.0,84,EUR,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual",black,36,50,CN,chenxiangjunjun,330,3.803030303030303,5d42980e8388970d32294ddc,5e6f1fb7fe4a5bb4b8bf36e5
9,9,"Femmes d'été, plus la taille décontractée lâche col en V à manches courtes imprimé floral Blouse Tops",5.78,22,EUR,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed",beige,33,50,CN,luoweiclothe,5534,3.999819298879653,5ba2251b4315d12ebce873fa,5ccfaf238a8d535cec2dfb47
